gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe,Significance,neg_log10_padj
ACAT1,-0.09200817394501712,0.7448012234372577,-0.2657598842438319,0.3628164506416669,0.8353209698716854,0.5923335608529936,Not Significant,0.07814661594210562
ACAT2,-0.10643389233405953,0.19906991275470828,-0.2508841260445346,0.014462470062580165,0.34243729229737047,0.3061408905100695,Not Significant,0.46541894563901604
ACBD3,0.22437148618631736,0.23626310593306524,-0.3653817234338311,0.07585487917034109,0.39078063008824043,0.3396367676401245,Not Significant,0.40806697119245217
ACBD4,0.2201302073986638,0.03256408533666697,-0.04932273734889213,0.5581084554580995,0.08731815288192918,0.7471129071454761,Not Significant,1.0588954598807898
ACBD5,0.31929191839515053,0.1187001543461982,-0.21841588355187486,0.2596666881566611,0.2318976525306521,0.5026401889255694,Not Significant,0.6347036476455156
ACBD6,0.1398529576687199,0.019139132310324665,0.09466328548629878,0.07503396698117072,0.058206639500471925,0.339397149498348,Not Significant,1.2350274735295925
ACBD7,0.7040150381373802,0.002185947145879515,0.23936735527540956,0.13258550146708575,0.011762569372796803,0.3962300316208322,Upregulated,1.9294978021930393
ACCS,0.5295489770652781,0.0003114859400342352,0.12123716441941908,0.14091979020120313,0.002998462022750611,0.4052551828270448,Upregulated,2.5231014473812445
ACD,-0.24970349165556643,0.014992838651153318,0.12817595222410455,0.13412560251182135,0.048500003348000385,0.39785229807674544,Not Significant,1.314258231417983
ACE,0.021363691164048848,0.4634580465250985,0.02249069561303706,0.44135178844615597,0.5928554812522067,0.6517273621222598,Not Significant,0.22705116050410704
ACER2,0.6210156282885798,0.0002581551305342773,0.2523457231393156,0.02074837153893588,0.002643705116165695,0.31258914563455403,Upregulated,2.5777869885071842
ACER3,0.6203747617026213,0.005315481207937339,-0.25006225988065056,0.13669028645780115,0.0224371454634604,0.4004742214335715,Upregulated,1.6490323964499405
ACHE,-0.022352814753128697,0.3940158550545725,0.005291452829536695,0.835163125176901,0.5291152708478803,0.9453604133856615,Not Significant,0.2764497040713009
ACIN1,-0.7726361605922059,9.824352158037351e-06,0.0568303390269859,0.3558827698471067,0.0003615440663390406,0.5866468239016944,Downregulated,3.4418387617123427
ACKR1,1.0290346488193297e-17,0.9999999999999998,0.050634322311594114,0.266569703380069,0.9999999999999998,0.5026401889255694,Not Significant,9.643274665532873e-17
ACKR2,0.11164423379853548,0.0009798911039733634,-0.013452922409428593,0.49813356761836003,0.0066011816912238735,0.6979414416243095,Not Significant,2.1803783135429153
ACKR3,-0.9292317867691321,4.5945935246629274e-05,0.33023436930714567,0.01007815959428023,0.0009033765585448384,0.2897993278339312,Downregulated,3.044131183009414
ACKR4,0.30851216598636355,0.0586002325139117,0.01253332161877389,0.9276541771953621,0.13529389708147502,0.9999999999999998,Not Significant,0.868721793377376
ACLY,-0.5324281192465854,0.00026417534255755547,0.15226174430738648,0.0718359530618134,0.0026843150085431606,0.33667396958995355,Downregulated,2.571166520379161
ACO1,0.4257412259145067,0.00012142055179985068,0.08686135155740546,0.12361166802057112,0.001622623392590985,0.3871839338366373,Not Significant,2.789782267295704
ACO2,-0.07136588492491391,0.5648338855960797,0.36707211451234856,0.020258060016638345,0.6858857899052117,0.31231311396833367,Not Significant,0.1637481947062926
ACOT1,-0.4822897981303435,0.05595477487092033,0.33518697543967063,0.15145473813006075,0.13053735107004244,0.4182556485578757,Not Significant,0.884265204473931
ACOT11,-0.09306046614336959,0.5223830568758823,0.3667249952947674,0.03672110540141808,0.6472284318019161,0.3248847789841273,Not Significant,0.1889424130529706
ACOT13,0.407656465920975,0.026991030992164638,-0.1038868360229104,0.4863859066031846,0.0758902316443799,0.6889567130492621,Not Significant,1.1198141215480242
ACOT2,-0.3466803202448082,0.03374160494592112,0.14955729385091007,0.28193246029731617,0.0898695142654576,0.5183498893081939,Not Significant,1.0463876056154853
ACOT4,0.38108985340762985,0.004318890292589693,0.1310907367377114,0.176524679110899,0.019205568551292358,0.4434530785636981,Not Significant,1.716572831688907
ACOT6,-0.04216660242015983,0.266569703380069,-0.04216660242015985,0.266569703380069,0.3963916820181208,0.5026401889255694,Not Significant,0.4018754674348267
ACOT7,-0.13397588396234708,0.3920828384682626,0.23920785424051172,0.15081645180237058,0.5269989786946561,0.41710693044511377,Not Significant,0.27819022643395247
ACOT8,-0.11385247311638247,0.49601035892481127,0.3117035875078744,0.09455014567672503,0.6225658430369749,0.3554314191630292,Not Significant,0.20581471048853442
ACOT9,-0.13390106902830476,0.0269514944232768,-0.05292111543190597,0.29374351762645234,0.07579071848120121,0.5299959492342717,Not Significant,1.1203839758878102
ACOX1,-0.2827820463989676,0.0005457438336804182,0.09551547227018989,0.06491053395247058,0.0043527166443084265,0.3322527714953205,Not Significant,2.3612396038783676
ACOX2,-0.015654260740613973,0.7114822936529739,-0.015327571876814175,0.7171742863565653,0.8078601409804378,0.8643899635889014,Not Significant,0.09266381900001375
ACOX3,-0.10422530762169895,0.3443536603105586,0.04248707979163571,0.6902523690532292,0.4786979134362025,0.8448581830946638,Not Significant,0.3199384655306237
ACOXL,-0.0015894866385358266,0.9368617109446378,0.01474511212719933,0.47262257814858244,0.9816309326832509,0.677727641622544,Not Significant,0.008051764785959594
ACP1,-0.14698780503791348,0.19283361508161012,-0.16533989986413575,0.1500825627945552,0.333989282182069,0.41581380819354896,Not Significant,0.47626746960720756
ACP2,0.3439582795770394,0.036943813790994026,0.34807901517932976,0.035402046232782806,0.09647377987396927,0.32454990869255734,Not Significant,1.0155907053437978
ACP5,1.368142158333518e-17,0.9999999999999997,0.06732032890498146,0.06200725423888809,0.9999999999999998,0.33017933745472094,Not Significant,9.643274665532873e-17
ACP6,-0.36831124165713075,0.0060462615313167465,0.1748604912628646,0.09664641808190254,0.024634607063840543,0.3580439511278099,Not Significant,1.608454360580741
ACPP,-0.17751324123331136,0.09526421600709606,-0.03465569890792227,0.712673952505649,0.19630267133503684,0.8610381643165745,Not Significant,0.7070737903736464
ACR,0.19977488202770738,0.38008001679377496,0.16628437726255113,0.46043753704923307,0.5152979349112585,0.6665138545809635,Not Significant,0.28794159799776897
ACRBP,0.18141765264955126,0.001798664433998684,0.08225097292345197,0.05249834628956504,0.010194475518387335,0.3248847789841273,Not Significant,1.991635112733266
