Name,B_cells,CD8_T_cells,Macrophages,NK_cells,T_cells,Risk_Group
TCGA-BW-A5NQ,0.4007197233290059,0.45074849808962303,0.27162478213229596,0.3236798217811063,0.4292696796221211,High_Immune
TCGA-CC-5258,0.30616699459473634,0.3158639948744413,0.30712306835925623,0.2867793928645763,0.37093968730160304,Low_Immune
TCGA-CC-5259,0.026880427490886448,0.3627968080447554,-0.03002694635122458,0.2712902069553744,0.37116300994692286,High_Immune
TCGA-CC-5260,0.20424334505218517,0.3496279766661049,0.28078094710266777,0.34977598302635377,0.3585762385810031,High_Immune
TCGA-CC-5261,0.4561708871772522,0.34214220565628867,0.004720075817575197,0.30030137737351736,0.4006019481427975,High_Immune
TCGA-CC-5262,0.3004403199952013,0.3780485768381911,0.27047851890656155,0.291509485592668,0.3933098726799444,High_Immune
TCGA-CC-5263,0.2456441379565789,0.3028315852576851,0.30258448114443953,0.29074270937217445,0.3373445408613888,Low_Immune
TCGA-CC-5264,0.26055343069843534,0.3150733868758485,0.25848427732643214,0.25848510441274214,0.44478938226628,Low_Immune
TCGA-CC-A123,0.2644996326420265,0.29797120938711186,0.007548039066102148,-0.013799579942986705,0.3585101595117073,Low_Immune
TCGA-CC-A1HT,0.32623819976034446,0.4136508405567256,0.2622257413070024,0.3208497599339259,0.43568125290233756,High_Immune
TCGA-CC-A3M9,0.3266244715776729,0.5216983166559324,0.38895643896726173,0.30469500885930434,0.49559702490547264,High_Immune
TCGA-CC-A3MA,0.22989958059098012,0.30782515473272104,-0.032598526654030555,0.36875729267353735,0.30890379042557325,Low_Immune
TCGA-CC-A3MB,0.25575249234495384,0.32953975594768203,0.29623923503579025,0.30957464338754814,0.33576594301890267,High_Immune
TCGA-CC-A3MC,0.2760216738564491,0.2666957987944581,0.22036318837821933,0.4032014268120542,0.32170256187902607,Low_Immune
TCGA-CC-A5UC,0.3571341696227411,0.31874701144536965,0.04493963772660785,0.3196065500655851,0.3602996712651127,Low_Immune
TCGA-CC-A5UD,0.1870454525734123,0.2992427835128205,0.3156406999767326,0.2747589724101413,0.310192609225664,Low_Immune
TCGA-CC-A5UE,0.11035624884804118,0.30856876830193725,-0.007435243203991938,0.25046749204493385,0.325079380338999,Low_Immune
TCGA-CC-A7IE,0.40439582206767977,0.4038005401697874,0.288255394046887,0.28694037164113445,0.4159371985501798,High_Immune
TCGA-CC-A7IF,0.23464144520055674,0.14970097079812975,0.2613939391197404,0.24485854590276893,0.27898596895765243,Low_Immune
TCGA-CC-A7IG,0.17508169247937228,0.21824926979156395,0.28677608820465955,0.20633090227026593,0.30852310541452754,Low_Immune
TCGA-CC-A7IH,0.22239791181892196,0.2794773043856045,0.2516255146818198,0.2492159228028889,0.28720580404197105,Low_Immune
TCGA-CC-A7II,0.10861273663763747,0.28591216969308414,0.26239955115931185,0.28212172535633046,0.26530221294687906,Low_Immune
TCGA-CC-A7IJ,0.26648540416049676,0.4607605174037212,0.28994364375956166,0.4268103878381892,0.4272692239325055,High_Immune
TCGA-CC-A7IK,-0.16341787330259894,0.2474445266059663,0.024603220963947285,0.312333002454186,0.2823415475452938,Low_Immune
TCGA-CC-A7IL,-0.04003572680825198,0.291394060070036,-0.022334544316392098,0.27326655175684406,0.27079375188759464,Low_Immune
TCGA-CC-A8HS,0.2909097282864242,0.26310782740111943,-0.038083023952454456,0.26519987202358153,0.3310671551514405,Low_Immune
TCGA-CC-A8HT,0.22510039900642337,0.306907371639313,0.2040899150012289,0.29499152806150003,0.33166480656894914,Low_Immune
TCGA-CC-A8HU,0.21889614865801532,0.23151589396860758,-0.009800089663131296,0.26935086133224806,0.27761483158889166,Low_Immune
TCGA-CC-A8HV,0.25063603481041885,0.213263281819843,-0.06415740798105574,0.14043295298931127,0.30153823343462655,Low_Immune
TCGA-CC-A9FS,0.304453859118844,0.3114063269490599,0.28563030890317626,0.26837169540373357,0.32156450713533874,Low_Immune
TCGA-CC-A9FU,0.33928062348064936,0.3306963009607616,0.1609577004927681,0.293434378508141,0.3476090636404038,High_Immune
TCGA-CC-A9FV,0.32539871519190217,0.38910784120183817,0.386317431706074,0.37431944824384145,0.3969683568518478,High_Immune
TCGA-CC-A9FW,0.36272010949212274,0.3478077729301614,0.2963636319359457,0.2572671919872023,0.35187797689473244,High_Immune
TCGA-DD-A113,0.2928454809223664,0.3577666771233383,0.29958344020837335,0.24438519551907947,0.35337187443216433,High_Immune
TCGA-DD-A113,0.23621589847781524,0.3117334187728864,0.04513804242271581,0.3710367751609939,0.3244351058373997,Low_Immune
TCGA-DD-A114,0.41081873031751753,0.4265298431906405,0.35584901255987983,0.3641940281128499,0.4121073608111218,High_Immune
TCGA-DD-A114,0.37914714550064593,0.42263409294765963,0.1008858953086086,0.3959162412570328,0.4263620806905918,High_Immune
TCGA-DD-A115,0.2398676595942401,0.33510581972483006,0.03406148865221263,0.3208842102110883,0.3642997346897677,High_Immune
