gene,log2FC_Er,pval_Er,log2FC_Fe,pval_Fe,padj_Er,padj_Fe
ATP1A1-AS1,0.6755262016923279,0.0013295359999252855,-0.029263164099633168,0.8150828348646043,0.008154665807724169,0.9302299419489337
ATP1B1,-0.7621601130709145,5.168925111770965e-05,-0.21419965773916672,0.028537876350907456,0.0009539822431310893,0.32080424868068846
ATP2B4,-0.8509101442387821,8.35820029007667e-06,0.057113631365862005,0.3843444534150722,0.0003306355398947488,0.6094437181421333
ATP5B,-0.7579388997610577,0.00021733574764473863,0.20268162593840838,0.07893584053550555,0.0023673774940699034,0.3403309727755005
ATP5D,-1.009809063410123,0.002735770928618233,0.19638204777224047,0.37824648465289,0.013743761041909554,0.6058436119013363
ATP5F1,-0.6549310918986812,0.0010599439215137692,-0.21276913958025961,0.10406672468135639,0.00697853647389735,0.3664552144493066
ATP5G3,-0.5656167479012479,0.001304379934905061,0.25090169694240033,0.045799015287430155,0.008060088846434183,0.3248847789841273
ATP5I,-0.535495690755365,0.029710208627542783,0.00783727340332747,0.9682353478371508,0.08167739603152827,0.9999999999999998
ATP5J2,-0.5356130208472986,0.0060448549335588506,0.32382627871658715,0.046151155715836875,0.024634607063840543,0.3248847789841273
ATP6V0A1,0.7929606625127739,0.0002294180813420602,0.24599188578016778,0.05126319773020401,0.002441452801690368,0.3248847789841273
ATP7A,-0.6441376008127417,0.013623540479972126,-0.4318334307905893,0.05999870197069314,0.04510615033350189,0.32938883510098454
ATP7B,0.646364517258005,0.0015518076768055175,0.1046555529375593,0.4095452206710794,0.009146813538115669,0.629411753084534
ATP8B2,-0.6072203837087787,0.000789535462124419,0.06271043223869674,0.5436146177865706,0.005620099451050087,0.7355955583782547
ATP8B3,-0.7214111325609618,0.0027747686573397455,0.2625006800524587,0.12632030615817924,0.01389663711466154,0.3889364090193016
ATP8B4,-0.624477648142565,4.5900365705885995e-05,-0.2983003533369918,0.0025135941639437436,0.0009033765585448384,0.2207304299935557
ATP9A,0.5828654261285932,9.321005020336856e-06,0.3020817098342957,0.0003889422840653931,0.000348610075227082,0.13948537991286353
