Gene,log2FC,pvalue,padj,plot_color
RABGAP1,0.5436346623479313,6.2660080591133545e-06,3.190640680474664e-05,grey
DCN,-3.6256815379223344,3.4547181828302193e-17,8.658262858122874e-16,b
QPCTL,0.9015484758439914,2.8305700977816755e-13,4.136339041698817e-12,grey
PPP5C,0.3124976097061112,0.013675336202739434,0.03466411647906636,grey
CEP68,1.0545096572154193,7.827721554457767e-19,2.4929063596867333e-17,re
MAP4K3,0.5914165764993946,0.00011475567428332072,0.0004679820271853029,grey
ZBTB32,1.3107538472851534,5.168928552299117e-10,4.831378094778508e-09,re
TYROBP,-0.3022538842220851,0.09061540291444976,0.17329092273060703,grey
TMEM159,0.05635426620777482,0.795646728824027,0.8450968293118768,grey
GABRA3,1.9040520424626064,1.1635172833329726e-05,5.659717729444891e-05,re
BRCA1,1.1745961179604065,6.643576225300444e-10,6.127565036942005e-09,re
ERCC1,0.6070425346677522,3.907122592633507e-09,3.230097762709384e-08,grey
CD22,-0.24931126936388154,0.34499064250515166,0.4865473594188723,grey
SEMA3B,1.0215278619935106,0.0002174116700947265,0.0008404292429587685,re
MBTPS2,0.12095236861562292,0.32538202840605956,0.46760571718582256,grey
PRICKLE3,0.6510179799678247,2.8868627107400243e-08,2.1101191321933393e-07,grey
LTF,0.3187483850192005,0.2567296469539737,0.39107153111190585,grey
EXTL3,1.0278783239630085,5.668237645210842e-13,7.922203926654213e-12,re
NR1H4,-0.3855756069743546,0.018261520878802492,0.04448581804312449,grey
ELOVL5,0.5033955382823746,0.001070870105836963,0.003594927498578128,grey
ALOX5,-0.11350116025888736,0.6819955294542073,0.7708322360378164,grey
KDM5D,1.194583866737921,0.06802317000634617,0.13672189849458358,grey
CALCOCO1,0.29694242129113396,0.019243775419068847,0.046579208635018965,grey
UBR7,0.4571462088979548,1.4275821967602316e-05,6.838176852737231e-05,grey
MAP4K5,0.3490243539269475,0.009488412953717327,0.02512725060649324,grey
EHD3,-1.8758600808809363,6.72954574552464e-20,2.456262446807038e-18,b
PSMC4,1.0441460115821208,2.185386627282835e-26,1.8725016071248142e-24,re
MAN2B2,-0.1777241910953181,0.14229362225571532,0.24862635786201776,grey
SLC7A14,0.6711485947258458,0.028765962293433252,0.06601935300197773,grey
CLDN11,-0.6164828730973637,0.033483588871429305,0.07523481279845824,grey
SLC25A39,1.160832757575369,1.6597205343439298e-27,1.6047280817077055e-25,re
